TableName,LineNumber,ParentLineNumber,Tier,Path,LineDescription,SeriesCode,DatasetName,MetaDataUpdated,NextReleaseDate,ReleaseDate,RowNumber,TableID
Table 1.1.1. Percent Change From Preceding Period in Real Gross Domestic Product,1,,0,1,Gross domestic product,A191RL,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,10,T10101
Table 1.1.1. Percent Change From Preceding Period in Real Gross Domestic Product,2,,0,2,Personal consumption expenditures,DPCERL,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,20,T10101
Table 1.1.1. Percent Change From Preceding Period in Real Gross Domestic Product,3,,0,3,Goods,DGDSRL,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,30,T10101
Table 1.1.1. Percent Change From Preceding Period in Real Gross Domestic Product,4,,0,4,Durable goods,DDURRL,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,40,T10101
Table 1.1.1. Percent Change From Preceding Period in Real Gross Domestic Product,5,,0,5,Nondurable goods,DNDGRL,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,50,T10101
Table 1.1.1. Percent Change From Preceding Period in Real Gross Domestic Product,6,,0,6,Services,DSERRL,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,60,T10101
Table 1.1.1. Percent Change From Preceding Period in Real Gross Domestic Product,7,,0,7,Gross private domestic investment,A006RL,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,70,T10101
Table 1.1.1. Percent Change From Preceding Period in Real Gross Domestic Product,8,,0,8,Fixed investment,A007RL,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,80,T10101
Table 1.1.1. Percent Change From Preceding Period in Real Gross Domestic Product,9,,0,9,Nonresidential,A008RL,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,90,T10101
Table 1.1.1. Percent Change From Preceding Period in Real Gross Domestic Product,10,,0,10,Structures,A009RL,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,100,T10101
Table 1.1.1. Percent Change From Preceding Period in Real Gross Domestic Product,11,,0,11,Equipment,Y033RL,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,110,T10101
Table 1.1.1. Percent Change From Preceding Period in Real Gross Domestic Product,12,,0,12,Intellectual property products,Y001RL,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,120,T10101
Table 1.1.1. Percent Change From Preceding Period in Real Gross Domestic Product,13,,0,13,Residential,A011RL,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,130,T10101
Table 1.1.1. Percent Change From Preceding Period in Real Gross Domestic Product,14,,0,14,Change in private inventories,ZZZZZZ,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,140,T10101
Table 1.1.1. Percent Change From Preceding Period in Real Gross Domestic Product,15,,0,15,Net exports of goods and services,ZZZZZZ,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,150,T10101
Table 1.1.1. Percent Change From Preceding Period in Real Gross Domestic Product,16,,0,16,Exports,A020RL,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,160,T10101
Table 1.1.1. Percent Change From Preceding Period in Real Gross Domestic Product,17,,0,17,Goods,A253RL,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,170,T10101
Table 1.1.1. Percent Change From Preceding Period in Real Gross Domestic Product,18,,0,18,Services,A646RL,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,180,T10101
Table 1.1.1. Percent Change From Preceding Period in Real Gross Domestic Product,19,,0,19,Imports,A021RL,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,190,T10101
Table 1.1.1. Percent Change From Preceding Period in Real Gross Domestic Product,20,,0,20,Goods,A255RL,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,200,T10101
Table 1.1.1. Percent Change From Preceding Period in Real Gross Domestic Product,21,,0,21,Services,A656RL,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,210,T10101
Table 1.1.1. Percent Change From Preceding Period in Real Gross Domestic Product,22,,0,22,Government consumption expenditures and gross investment,A822RL,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,220,T10101
Table 1.1.1. Percent Change From Preceding Period in Real Gross Domestic Product,23,,0,23,Federal,A823RL,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,230,T10101
Table 1.1.1. Percent Change From Preceding Period in Real Gross Domestic Product,24,,0,24,National defense,A824RL,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,240,T10101
Table 1.1.1. Percent Change From Preceding Period in Real Gross Domestic Product,25,,0,25,Nondefense,A825RL,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,250,T10101
Table 1.1.1. Percent Change From Preceding Period in Real Gross Domestic Product,26,,0,26,State and local,A829RL,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,260,T10101
Table 1.1.1. Percent Change From Preceding Period in Real Gross Domestic Product,27,,0,27,"Gross domestic product, current dollars",A191RP,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,280,T10101
Table 1.1.2. Contributions to Percent Change in Real Gross Domestic Product,1,,0,1,Gross domestic product,A191RL,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,20,T10102
Table 1.1.2. Contributions to Percent Change in Real Gross Domestic Product,2,,0,2,Personal consumption expenditures,DPCERY,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,40,T10102
Table 1.1.2. Contributions to Percent Change in Real Gross Domestic Product,3,,0,3,Goods,DGDSRY,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,50,T10102
Table 1.1.2. Contributions to Percent Change in Real Gross Domestic Product,4,,0,4,Durable goods,DDURRY,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,60,T10102
Table 1.1.2. Contributions to Percent Change in Real Gross Domestic Product,5,,0,5,Nondurable goods,DNDGRY,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,70,T10102
Table 1.1.2. Contributions to Percent Change in Real Gross Domestic Product,6,,0,6,Services,DSERRY,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,80,T10102
Table 1.1.2. Contributions to Percent Change in Real Gross Domestic Product,7,,0,7,Gross private domestic investment,A006RY,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,90,T10102
Table 1.1.2. Contributions to Percent Change in Real Gross Domestic Product,8,,0,8,Fixed investment,A007RY,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,100,T10102
Table 1.1.2. Contributions to Percent Change in Real Gross Domestic Product,9,,0,9,Nonresidential,A008RY,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,110,T10102
Table 1.1.2. Contributions to Percent Change in Real Gross Domestic Product,10,,0,10,Structures,A009RY,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,120,T10102
Table 1.1.2. Contributions to Percent Change in Real Gross Domestic Product,11,,0,11,Equipment,Y033RY,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,130,T10102
Table 1.1.2. Contributions to Percent Change in Real Gross Domestic Product,12,,0,12,Intellectual property products,Y001RY,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,140,T10102
Table 1.1.2. Contributions to Percent Change in Real Gross Domestic Product,13,,0,13,Residential,A011RY,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,150,T10102
Table 1.1.2. Contributions to Percent Change in Real Gross Domestic Product,14,,0,14,Change in private inventories,A014RY,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,160,T10102
Table 1.1.2. Contributions to Percent Change in Real Gross Domestic Product,15,,0,15,Net exports of goods and services,A019RY,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,170,T10102
Table 1.1.2. Contributions to Percent Change in Real Gross Domestic Product,16,,0,16,Exports,A020RY,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,180,T10102
Table 1.1.2. Contributions to Percent Change in Real Gross Domestic Product,17,,0,17,Goods,A253RY,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,190,T10102
Table 1.1.2. Contributions to Percent Change in Real Gross Domestic Product,18,,0,18,Services,A646RY,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,200,T10102
Table 1.1.2. Contributions to Percent Change in Real Gross Domestic Product,19,,0,19,Imports,A021RY,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,210,T10102
Table 1.1.2. Contributions to Percent Change in Real Gross Domestic Product,20,,0,20,Goods,A255RY,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,220,T10102
Table 1.1.2. Contributions to Percent Change in Real Gross Domestic Product,21,,0,21,Services,A656RY,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,230,T10102
Table 1.1.2. Contributions to Percent Change in Real Gross Domestic Product,22,,0,22,Government consumption expenditures and gross investment,A822RY,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,240,T10102
