LineNumber,ParentLineNumber,Tier,Path,LineDescription,SeriesCode
1,0,0,1,Personal consumption expenditures,DPCERC
2,1,1,1.2,Goods,DGDSRC
3,2,2,1.2.3,Durable goods,DDURRC
4,3,3,1.2.3.4,Motor vehicles and parts,DMOTRC
5,4,4,1.2.3.4.5,New motor vehicles (55),DNMVRC
6,5,5,1.2.3.4.5.6,New autos,DNEARC
7,6,6,1.2.3.4.5.6.7,New domestic autos,DNDCRC
8,6,6,1.2.3.4.5.6.8,New foreign autos,DNFCRC
9,5,5,1.2.3.4.5.9,New light trucks,DNWTRC
10,4,4,1.2.3.4.10,Net purchases of used motor vehicles (56),DNPVRC
11,10,5,1.2.3.4.10.11,Used autos,DNPURC
12,11,6,1.2.3.4.10.11.12,Net transactions in used autos,DNETRC
13,11,6,1.2.3.4.10.11.13,Used auto margin,DMARRC
14,11,6,1.2.3.4.10.11.14,Employee reimbursement,DREERC
15,10,5,1.2.3.4.10.15,Used light trucks,DUTRRC
16,15,6,1.2.3.4.10.15.16,Net transactions in used trucks,DUTNRC
17,15,6,1.2.3.4.10.15.17,Used truck margin,DUTMRC
18,4,4,1.2.3.4.18,Motor vehicle parts and accessories (58),DMVPRC
19,18,5,1.2.3.4.18.19,Tires,DTATRC
20,18,5,1.2.3.4.18.20,Accessories and parts,DPAARC
21,3,3,1.2.3.21,Furnishings and durable household equipment,DFDHRC
22,21,4,1.2.3.21.22,Furniture and furnishings (parts of 31 and 32),DFFFRC
23,22,5,1.2.3.21.22.23,Furniture,DFNRRC
24,22,5,1.2.3.21.22.24,"Clocks, lamps, lighting fixtures, and other household decorative items",DCLFRC
25,22,5,1.2.3.21.22.25,Carpets and other floor coverings,DFLRRC
26,22,5,1.2.3.21.22.26,Window coverings,DWCTRC
27,21,4,1.2.3.21.27,Household appliances (part of 33),DAPPRC
28,27,5,1.2.3.21.27.28,Major household appliances,DMHARC
29,27,5,1.2.3.21.27.29,Small electric household appliances,DSEARC
30,21,4,1.2.3.21.30,"Glassware, tableware, and household utensils (34)",DUTERC
31,30,5,1.2.3.21.30.31,Dishes and flatware,DCHNRC
32,30,5,1.2.3.21.30.32,Nonelectric cookware and tableware,DNECRC
33,21,4,1.2.3.21.33,Tools and equipment for house and garden (35),DTOORC
34,33,5,1.2.3.21.33.34,"Tools, hardware, and supplies",DHDWRC
35,33,5,1.2.3.21.33.35,Outdoor equipment and supplies,DLWNRC
36,3,3,1.2.3.36,Recreational goods and vehicles,DREQRC
37,36,4,1.2.3.36.37,"Video, audio, photographic, and information processing equipment and media (75, 76, and part of 93)",DVAPRC
38,37,5,1.2.3.36.37.38,Video and audio equipment,DVAARC
39,38,6,1.2.3.36.37.38.39,Televisions,DTVSRC
40,38,6,1.2.3.36.37.38.40,Other video equipment,DOVARC
41,38,6,1.2.3.36.37.38.41,Audio equipment,DAUDRC
42,38,6,1.2.3.36.37.38.42,Recording media,DRECRC
43,42,7,1.2.3.36.37.38.42.43,"Audio discs, tapes, vinyl, and permanent digital downloads",DRTDRC
44,42,7,1.2.3.36.37.38.42.44,"Video discs, tapes, and permanent digital downloads",DOVERC
45,37,5,1.2.3.36.37.45,Photographic equipment,DCAMRC
46,37,5,1.2.3.36.37.46,Information processing equipment,DIPERC
47,46,6,1.2.3.36.37.46.47,Personal computers/tablets and peripheral equipment,DCPPRC
48,46,6,1.2.3.36.37.46.48,Computer software and accessories,DCPSRC
49,46,6,1.2.3.36.37.46.49,"Calculators, typewriters, and other information processing equipment",DOIPRC
50,36,4,1.2.3.36.50,"Sporting equipment, supplies, guns, and ammunition (part of 80)",DSPGRC
51,36,4,1.2.3.36.51,Sports and recreational vehicles (79),DWHLRC
52,51,5,1.2.3.36.51.52,Motorcycles,DMCYRC
53,51,5,1.2.3.36.51.53,Bicycles and accessories,DBCYRC
54,51,5,1.2.3.36.51.54,"Pleasure boats, aircraft, and other recreational vehicles",DBARRC
55,54,6,1.2.3.36.51.54.55,Pleasure boats,DBOARC
56,54,6,1.2.3.36.51.54.56,Pleasure aircraft,DAIRRC
57,54,6,1.2.3.36.51.54.57,Other recreational vehicles,DREVRC
58,36,4,1.2.3.36.58,Recreational books (part of 90),DRBKRC
59,36,4,1.2.3.36.59,Musical instruments (part of 80),DMSCRC
60,3,3,1.2.3.60,Other durable goods,DODGRC
61,60,4,1.2.3.60.61,Jewelry and watches (part of 119),DJRYRC
62,61,5,1.2.3.60.61.62,Jewelry,DJLYRC
63,61,5,1.2.3.60.61.63,Watches,DWTCRC
64,60,4,1.2.3.60.64,Therapeutic appliances and equipment (42),DTAERC
65,64,5,1.2.3.60.64.65,Therapeutic medical equipment,DTMERC
66,64,5,1.2.3.60.64.66,Corrective eyeglasses and contact lenses,DEYERC
67,60,4,1.2.3.60.67,Educational books (96),DEBKRC
68,60,4,1.2.3.60.68,Luggage and similar personal items (part of 119),DLUGRC
69,60,4,1.2.3.60.69,Telephone and related communication equipment,DTCERC
70,2,2,1.2.70,Nondurable goods,DNDGRC
71,70,3,1.2.70.71,Food and beverages purchased for off-premises consumption,DFXARC
72,71,4,1.2.70.71.72,Food and nonalcoholic beverages purchased for off-premises consumption (4),DTFDRC
73,72,5,1.2.70.71.72.73,Food purchased for off-premises consumption,DFOFRC
74,73,6,1.2.70.71.72.73.74,Cereals and bakery products,DCBPRC
75,74,7,1.2.70.71.72.73.74.75,Cereals,DGRARC
76,74,7,1.2.70.71.72.73.74.76,Bakery products,DBAKRC
